word,phonetic,class,definition,CEFR,word_book,tag
abandon,ə'bændən,vt.,"放弃,沉溺",B1,toefl,null
abandon,ə'bændən,n.,放任,B1,toefl,null
abashed,ə'bæʃt,adj.,"1  (在人前) 感觉羞愧的,局促不安的,困窘的; 2. 因…局促不安的",C2,toefl,null
abate,ə'beit,vt.,"缓和,减弱,减少,废除",C2,toefl,null
abate,ə'beit,vi.,"缓和,减弱,减少",C2,toefl,null
abdicate,æbdi'keit,vt.,放弃,C2,toefl,"```json
[""History"", ""Politics"", ""Laws""]
```"
abdicate,æbdi'keit,vi.,逊位,C2,toefl,"```json
[""History"", ""Politics"", ""Laws""]
```"
abduct,æb'dʌkt,vt.,"诱拐,绑走",C2,toefl,null
abhor,əb'hɔ:,vt.,"憎恶,痛恨",C2,toefl,null
abhorrent,əb'hɔrənt,a.,"令人憎恨的,可恶的,不一致的,相反的,厌恶的",C2,toefl,null
ability,ə'biliti,n.,"能力,才干",A2,toefl,null
ablaze,ə'bleiz,a.,"着火的,闪亮的,激昂的ad.  着火,闪耀",C2,toefl,null
abnormal,æb'nɔ:məl,a.,不正常,B1,toefl,null
abolish,ə'bɔliʃ,vt.,"废止,革除,取消",B2,toefl,null
aboriginal,æbə'ridʒənl,n.,"土著居民,土生生物",B2,toefl,null
abortive,ə'bɔrtiv,a.,"流产的,堕胎的,失败的",C2,toefl,null
abridge,ə'bridʒ,vt.,"删节,缩短,剥夺",C2,toefl,null
absolute,'æbsəlu:t,n.,绝对,B1,toefl,null
absolve,əb'zɔlv,vt.,"宣告. . . 无罪,赦免,免除",C2,toefl,null
absorb,əb'sɔ:b,vt.,"吸收,并吞,全神贯注,同化",B1,toefl,null
absorbing,əb'sɔ:biŋ,a.,"吸引人的,非常有趣的",B1,toefl,null
abstain,əb'stein,vi.,"自制,戒绝,弃权,避免",C2,toefl,null
abstinence,'æbstinəns,n.,"节制,禁欲,戒酒",C2,toefl,null
abstract,'æbstrækt,n.,"摘要,抽象a.  抽象的,深奥的",B1,toefl,null
abstract,'æbstrækt,vt.,"摘要,提炼,使抽象化",B1,toefl,null
abstraction,æb'strækʃən,n.,"抽象化,心不在焉,提炼,抽象派作品",B1,toefl,"```json
[""Tech"", ""Science"", ""Art"", ""Literature"", ""Education""]
```"
abstruse,æb'stru:s,a.,"难解的,深奥的",C2,toefl,null
absurd,əb'sə:d,a.,"荒谬的,不合理的,可笑的",B2,toefl,null
abundant,ə'bʌndənt,a.,"丰富的,充分的",B1,toefl,null
abuse,"ə'bju:z,ə'bju:s",n.,"滥用,恶习,辱骂",B2,toefl,null
abuse,"ə'bju:z,ə'bju:s",vt.,"滥用,辱骂,虐待",B2,toefl,null
academic,'ækə'demik,a.,"学院的,理论的,不够实际的",B1,toefl,"```json
[""Science"", ""Education"", ""Literature"", ""History"", ""Society""]
```"
accelerate,æk'seləreit,vt.,,C1,toefl,"```json
[""Tech"", ""Economy"", ""Science"", ""Health"", ""Environment"", ""Sports""]
```"
accelerate,æk'seləreit,vi.,加速,C1,toefl,"```json
[""Tech"", ""Economy"", ""Science"", ""Health"", ""Sports"", ""Environment""]
```"
accentuate,æk'sentʃueit,vt.,"以重音念,强调,重读",C2,toefl,null
access,'ækses,n.,"通路,进入,使用权,发作",B2,toefl,null
access,'ækses,n.,访问,B2,toefl,null
accidental,'æksi'dentl,n.,非本质属性,B1,toefl,null
acclaim,ə'kleim,n.,"喝彩,欢呼,赞同",C2,toefl,null
acclaim,ə'kleim,vt.,,C2,toefl,null
acclaim,ə'kleim,vi.,"欢呼,喝彩,称赞",C2,toefl,null
accommodate,ə'kɔmədeit,vt.,"使适应,调节,和解,容纳",B2,toefl,null
accommodate,ə'kɔmədeit,vi.,适应,B2,toefl,null
accompany,ə'kʌmpəni,vt.,"陪伴,带有,为. . . 伴奏",B1,toefl,null
accompany,ə'kʌmpəni,vi.,伴奏,B1,toefl,null
accomplice,ə'kɔmplis,n.,"共犯,同谋",C2,toefl,null
accomplished,ə'kɔmpliʃt,a.,"完成的,实现的,善社交的,有造诣的",B1,toefl,null
accost,ə'kɔst,vt.,"招呼,搭讪,勾引",C2,toefl,null
account,ə'kaunt,n.,"帐目,报告,估计,原因,记录,算账",A2,toefl,null
account,ə'kaunt,vi.,"解释,认为,占,杀死,得分",A2,toefl,null
account,ə'kaunt,vt.,,A2,toefl,null
accumulate,ə'kju:mjuleit,vt.,,B2,toefl,null
accumulate,ə'kju:mjuleit,vi.,"积聚,堆积",B2,toefl,null
accurate,'ækjurit,a.,"正确的,精确的",B1,toefl,null
accusation,'ækjuæ:ɔ'zeiʃən,n.,"控告,指控,非难",B2,toefl,null
accuse,ə'kju:z,vt.,"责备,控告,谴责",B1,toefl,null
accustomed,ə'kʌstəmd,a.,习惯了的,B1,toefl,null
achieve,ə'tʃi:v,vt.,完成,A2,toefl,null
acid,'æsid,n.,"酸,酸类物质a.  酸的,酸性的,讽刺的",B2,toefl,"```json
[""Science"", ""Health"", ""Environment""]
```"
acknowledge,ək'nɔlidʒ,vt.,"承认,答谢,认知",B1,toefl,null
acquire,ə'kwaiə,vt.,"获得,学到",B1,toefl,null
acquisitive,ə'kwizitiv,a.,"想获得的,贪得的",C2,toefl,null
acquit,ə'kwit,vt.,"开释,释放,完成,表现",C2,toefl,null
acrid,'ækrid,a.,"苦味的,辛辣的,尖刻的",C2,toefl,null
acrimonious,ækri'mouniəs,a.,"严厉的,辛辣的,刻毒的",C2,toefl,null
acrimony,'ækrə'məuni,n.,"严厉,辛辣,刻毒",C2,toefl,null
acting,'æktiŋ,n.,"演戏,行为,假装a.  代理的,临时的,演出用的",A2,toefl,"```json
[""Art"", ""Media"", ""Literature"", ""Society""]
```"
action,'ækʃən,n.,"动作,作用,诉讼,行为,战斗控告",A1,toefl,null
active,'æktiv,a.,"活跃的,积极的,有效的,主动的,现役的,现行的,活性的a.  活动的",B1,toefl,null
actual,'æktjuəl,a.,"真实的,实际的",B2,toefl,null
acumen,ə'kju:mən,n.,"敏锐,聪明",C2,toefl,null
acute,ə'kju:t,a.,"敏锐的,激烈的,尖锐的,严重的",B2,toefl,null
adage,'ædidʒ,n.,"古话,格言,谚语",C2,toefl,null
adapt,ə'dæpt,vt.,"使适应,改编",B1,toefl,null
adapt,ə'dæpt,vi.,适应,B1,toefl,null
adaptable,ə'dæptəbl,a.,"能适应的,可修改的",B2,toefl,null
adaptation,'ædæp'teiʃən,n.,"改编,适应,改编成的作品",B2,toefl,null
addict,ə'dikt,vt.,"使沉溺,使上瘾",B2,toefl,null
addict,ə'dikt,n.,上瘾者,B2,toefl,null
addicted,ə'diktid,adj.,痴迷,B2,toefl,null
adept,ə'dept,n.,"名手,专家",C2,toefl,null
adequate,'ædikwit,a.,"适当的,足够的",B2,toefl,null
adhere,əd'hiə,vi.,"依附,粘着,坚持,",C2,toefl,null
adherent,əd'hiərənt,n.,党徒,C2,toefl,null
adhesive,əd'hi:siv,n.,粘剂,C2,toefl,"```json
[""Tech"", ""Science"", ""Health"", ""Art""]
```"
adjacent,ə'dʒeisənt,a.,"毗连的,邻近的,接近的",B1,toefl,
adjoin,ə'dʒɔin,vt.,,C2,toefl,null
adjoin,ə'dʒɔin,vi.,"邻接,毗连",C2,toefl,null
